2025-03-05 14:29:21.f - Starting machine 0 with clock rate 1 ticks/second
2025-03-05 14:29:21.f - Internal event range: (4, 10)
2025-03-05 14:29:22.f - SEND to 5002 - System time: 1741202962.072218, Logical clock: 1
2025-03-05 14:29:23.f - RECEIVE from 56314 - System time: 1741202963.077844, Queue length: 0, Logical clock: 4
2025-03-05 14:29:24.f - RECEIVE from 56314 - System time: 1741202964.080373, Queue length: 0, Logical clock: 9
2025-03-05 14:29:25.f - RECEIVE from 56314 - System time: 1741202965.081839, Queue length: 0, Logical clock: 13
2025-03-05 14:29:26.f - RECEIVE from 64516 - System time: 1741202966.085084, Queue length: 0, Logical clock: 16
2025-03-05 14:29:27.f - RECEIVE from 56314 - System time: 1741202967.086159, Queue length: 0, Logical clock: 18
2025-03-05 14:29:28.f - RECEIVE from 64516 - System time: 1741202968.091278, Queue length: 0, Logical clock: 22
2025-03-05 14:29:29.f - RECEIVE from 56314 - System time: 1741202969.092360, Queue length: 0, Logical clock: 24
2025-03-05 14:29:30.f - RECEIVE from 56314 - System time: 1741202970.093865, Queue length: 0, Logical clock: 28
2025-03-05 14:29:31.f - RECEIVE from 56314 - System time: 1741202971.099289, Queue length: 0, Logical clock: 30
2025-03-05 14:29:32.f - RECEIVE from 64516 - System time: 1741202972.102047, Queue length: 0, Logical clock: 32
2025-03-05 14:29:33.f - RECEIVE from 56314 - System time: 1741202973.105591, Queue length: 0, Logical clock: 35
2025-03-05 14:29:34.f - RECEIVE from 56314 - System time: 1741202974.112816, Queue length: 0, Logical clock: 40
2025-03-05 14:29:35.f - RECEIVE from 56314 - System time: 1741202975.113474, Queue length: 0, Logical clock: 42
2025-03-05 14:29:36.f - RECEIVE from 64516 - System time: 1741202976.117411, Queue length: 0, Logical clock: 44
2025-03-05 14:29:37.f - RECEIVE from 56314 - System time: 1741202977.121076, Queue length: 0, Logical clock: 46
2025-03-05 14:29:38.f - RECEIVE from 56314 - System time: 1741202978.126631, Queue length: 0, Logical clock: 52
2025-03-05 14:29:39.f - RECEIVE from 56314 - System time: 1741202979.130233, Queue length: 0, Logical clock: 57
2025-03-05 14:29:40.f - RECEIVE from 64516 - System time: 1741202980.132810, Queue length: 0, Logical clock: 61
2025-03-05 14:29:41.f - RECEIVE from 64516 - System time: 1741202981.135877, Queue length: 0, Logical clock: 64
2025-03-05 14:29:42.f - RECEIVE from 56314 - System time: 1741202982.143862, Queue length: 0, Logical clock: 68
2025-03-05 14:29:43.f - RECEIVE from 56314 - System time: 1741202983.149293, Queue length: 0, Logical clock: 73
2025-03-05 14:29:44.f - RECEIVE from 64516 - System time: 1741202984.152907, Queue length: 0, Logical clock: 74
2025-03-05 14:29:45.f - RECEIVE from 64516 - System time: 1741202985.158103, Queue length: 0, Logical clock: 75
2025-03-05 14:29:46.f - RECEIVE from 56314 - System time: 1741202986.161084, Queue length: 0, Logical clock: 77
2025-03-05 14:29:47.f - RECEIVE from 64516 - System time: 1741202987.165367, Queue length: 0, Logical clock: 78
2025-03-05 14:29:48.f - RECEIVE from 56314 - System time: 1741202988.169911, Queue length: 0, Logical clock: 79
