2025-03-05 14:30:23.f - Starting machine 2 with clock rate 1 ticks/second
2025-03-05 14:30:23.f - Internal event range: (4, 10)
2025-03-05 14:30:23.f - INTERNAL EVENT - System time: 1741203023.683418, Logical clock: 1
2025-03-05 14:30:24.f - RECEIVE from 58403 - System time: 1741203024.689454, Queue length: 0, Logical clock: 2
2025-03-05 14:30:25.f - RECEIVE from 58403 - System time: 1741203025.694112, Queue length: 0, Logical clock: 6
2025-03-05 14:30:26.f - RECEIVE from 57130 - System time: 1741203026.699483, Queue length: 0, Logical clock: 11
2025-03-05 14:30:27.f - RECEIVE from 58403 - System time: 1741203027.705027, Queue length: 0, Logical clock: 12
2025-03-05 14:30:28.f - RECEIVE from 57130 - System time: 1741203028.709537, Queue length: 0, Logical clock: 16
2025-03-05 14:30:29.f - RECEIVE from 58403 - System time: 1741203029.715018, Queue length: 0, Logical clock: 22
2025-03-05 14:30:30.f - RECEIVE from 57130 - System time: 1741203030.719532, Queue length: 0, Logical clock: 29
2025-03-05 14:30:31.f - RECEIVE from 58403 - System time: 1741203031.723736, Queue length: 0, Logical clock: 33
2025-03-05 14:30:32.f - RECEIVE from 57130 - System time: 1741203032.728126, Queue length: 0, Logical clock: 36
2025-03-05 14:30:33.f - RECEIVE from 58403 - System time: 1741203033.728975, Queue length: 0, Logical clock: 37
2025-03-05 14:30:34.f - RECEIVE from 58403 - System time: 1741203034.732177, Queue length: 0, Logical clock: 38
2025-03-05 14:30:35.f - RECEIVE from 57130 - System time: 1741203035.736156, Queue length: 0, Logical clock: 42
2025-03-05 14:30:36.f - RECEIVE from 57130 - System time: 1741203036.740400, Queue length: 0, Logical clock: 44
2025-03-05 14:30:37.f - RECEIVE from 57130 - System time: 1741203037.745336, Queue length: 0, Logical clock: 54
2025-03-05 14:30:38.f - RECEIVE from 57130 - System time: 1741203038.748766, Queue length: 0, Logical clock: 62
2025-03-05 14:30:39.f - RECEIVE from 57130 - System time: 1741203039.752202, Queue length: 0, Logical clock: 66
2025-03-05 14:30:40.f - RECEIVE from 57130 - System time: 1741203040.756026, Queue length: 0, Logical clock: 70
2025-03-05 14:30:41.f - RECEIVE from 57130 - System time: 1741203041.758725, Queue length: 0, Logical clock: 72
2025-03-05 14:30:42.f - RECEIVE from 58403 - System time: 1741203042.764146, Queue length: 0, Logical clock: 75
2025-03-05 14:30:43.f - RECEIVE from 57130 - System time: 1741203043.767836, Queue length: 0, Logical clock: 79
2025-03-05 14:30:44.f - RECEIVE from 57130 - System time: 1741203044.773811, Queue length: 0, Logical clock: 80
2025-03-05 14:30:45.f - RECEIVE from 58403 - System time: 1741203045.775890, Queue length: 0, Logical clock: 84
2025-03-05 14:30:46.f - RECEIVE from 57130 - System time: 1741203046.781276, Queue length: 0, Logical clock: 86
2025-03-05 14:30:47.f - RECEIVE from 57130 - System time: 1741203047.782820, Queue length: 0, Logical clock: 94
2025-03-05 14:30:48.f - RECEIVE from 58403 - System time: 1741203048.788220, Queue length: 0, Logical clock: 96
2025-03-05 14:30:49.f - RECEIVE from 57130 - System time: 1741203049.792049, Queue length: 0, Logical clock: 100
2025-03-05 14:30:50.f - RECEIVE from 57130 - System time: 1741203050.793545, Queue length: 0, Logical clock: 101
2025-03-05 14:30:51.f - RECEIVE from 57130 - System time: 1741203051.801980, Queue length: 0, Logical clock: 103
2025-03-05 14:30:52.f - RECEIVE from 57130 - System time: 1741203052.807403, Queue length: 0, Logical clock: 105
2025-03-05 14:30:53.f - RECEIVE from 58403 - System time: 1741203053.812946, Queue length: 0, Logical clock: 106
2025-03-05 14:30:54.f - RECEIVE from 57130 - System time: 1741203054.818053, Queue length: 0, Logical clock: 108
2025-03-05 14:30:55.f - RECEIVE from 57130 - System time: 1741203055.820049, Queue length: 0, Logical clock: 109
2025-03-05 14:30:56.f - RECEIVE from 57130 - System time: 1741203056.825572, Queue length: 0, Logical clock: 110
2025-03-05 14:30:57.f - RECEIVE from 58403 - System time: 1741203057.826623, Queue length: 0, Logical clock: 111
2025-03-05 14:30:58.f - RECEIVE from 57130 - System time: 1741203058.832370, Queue length: 0, Logical clock: 119
2025-03-05 14:30:59.f - RECEIVE from 57130 - System time: 1741203059.836210, Queue length: 0, Logical clock: 120
2025-03-05 14:31:00.f - RECEIVE from 57130 - System time: 1741203060.837489, Queue length: 0, Logical clock: 122
2025-03-05 14:31:01.f - RECEIVE from 57130 - System time: 1741203061.841149, Queue length: 0, Logical clock: 138
2025-03-05 14:31:02.f - RECEIVE from 58403 - System time: 1741203062.843970, Queue length: 0, Logical clock: 139
2025-03-05 14:31:03.f - RECEIVE from 57130 - System time: 1741203063.846199, Queue length: 0, Logical clock: 140
2025-03-05 14:31:04.f - RECEIVE from 58403 - System time: 1741203064.851973, Queue length: 0, Logical clock: 141
2025-03-05 14:31:05.f - RECEIVE from 58403 - System time: 1741203065.852632, Queue length: 0, Logical clock: 142
2025-03-05 14:31:06.f - RECEIVE from 57130 - System time: 1741203066.857220, Queue length: 0, Logical clock: 145
2025-03-05 14:31:07.f - RECEIVE from 57130 - System time: 1741203067.862283, Queue length: 0, Logical clock: 146
2025-03-05 14:31:08.f - RECEIVE from 58403 - System time: 1741203068.863700, Queue length: 0, Logical clock: 147
2025-03-05 14:31:09.f - RECEIVE from 57130 - System time: 1741203069.867605, Queue length: 0, Logical clock: 152
2025-03-05 14:31:10.f - RECEIVE from 57130 - System time: 1741203070.870865, Queue length: 0, Logical clock: 160
2025-03-05 14:31:11.f - RECEIVE from 58403 - System time: 1741203071.874099, Queue length: 0, Logical clock: 162
2025-03-05 14:31:12.f - RECEIVE from 57130 - System time: 1741203072.879109, Queue length: 0, Logical clock: 170
2025-03-05 14:31:13.f - RECEIVE from 58403 - System time: 1741203073.882314, Queue length: 0, Logical clock: 171
2025-03-05 14:31:14.f - RECEIVE from 57130 - System time: 1741203074.887820, Queue length: 0, Logical clock: 174
2025-03-05 14:31:15.f - RECEIVE from 58403 - System time: 1741203075.888568, Queue length: 0, Logical clock: 180
2025-03-05 14:31:16.f - RECEIVE from 57130 - System time: 1741203076.893467, Queue length: 0, Logical clock: 183
2025-03-05 14:31:17.f - RECEIVE from 57130 - System time: 1741203077.899040, Queue length: 0, Logical clock: 187
2025-03-05 14:31:18.f - RECEIVE from 57130 - System time: 1741203078.903148, Queue length: 0, Logical clock: 190
2025-03-05 14:31:19.f - RECEIVE from 58403 - System time: 1741203079.908501, Queue length: 0, Logical clock: 191
2025-03-05 14:31:20.f - RECEIVE from 57130 - System time: 1741203080.912492, Queue length: 0, Logical clock: 194
2025-03-05 14:31:21.f - RECEIVE from 57130 - System time: 1741203081.918323, Queue length: 0, Logical clock: 197
2025-03-05 14:31:22.f - RECEIVE from 57130 - System time: 1741203082.922579, Queue length: 0, Logical clock: 199
2025-03-05 14:31:23.f - RECEIVE from 58403 - System time: 1741203083.927796, Queue length: 0, Logical clock: 200
2025-03-05 14:31:24.f - RECEIVE from 57130 - System time: 1741203084.933031, Queue length: 0, Logical clock: 205
2025-03-05 14:31:25.f - RECEIVE from 57130 - System time: 1741203085.937253, Queue length: 0, Logical clock: 207
2025-03-05 14:31:26.f - RECEIVE from 57130 - System time: 1741203086.942460, Queue length: 0, Logical clock: 211
2025-03-05 14:31:27.f - RECEIVE from 57130 - System time: 1741203087.944426, Queue length: 0, Logical clock: 216
2025-03-05 14:31:28.f - RECEIVE from 58403 - System time: 1741203088.949303, Queue length: 0, Logical clock: 217
2025-03-05 14:31:29.f - RECEIVE from 57130 - System time: 1741203089.953108, Queue length: 0, Logical clock: 218
2025-03-05 14:31:30.f - RECEIVE from 57130 - System time: 1741203090.957296, Queue length: 0, Logical clock: 223
2025-03-05 14:31:31.f - RECEIVE from 58403 - System time: 1741203091.962700, Queue length: 0, Logical clock: 224
2025-03-05 14:31:32.f - RECEIVE from 58403 - System time: 1741203092.967050, Queue length: 0, Logical clock: 230
2025-03-05 14:31:33.f - RECEIVE from 57130 - System time: 1741203093.972653, Queue length: 0, Logical clock: 239
2025-03-05 14:31:34.f - RECEIVE from 58403 - System time: 1741203094.975018, Queue length: 0, Logical clock: 250
2025-03-05 14:31:35.f - RECEIVE from 58403 - System time: 1741203095.980139, Queue length: 0, Logical clock: 253
2025-03-05 14:31:36.f - RECEIVE from 58403 - System time: 1741203096.985495, Queue length: 0, Logical clock: 257
2025-03-05 14:31:37.f - RECEIVE from 57130 - System time: 1741203097.987742, Queue length: 0, Logical clock: 264
2025-03-05 14:31:38.f - RECEIVE from 57130 - System time: 1741203098.993078, Queue length: 0, Logical clock: 267
2025-03-05 14:31:39.f - RECEIVE from 57130 - System time: 1741203099.997912, Queue length: 0, Logical clock: 269
2025-03-05 14:31:41.f - RECEIVE from 57130 - System time: 1741203101.001122, Queue length: 0, Logical clock: 271
2025-03-05 14:31:42.f - RECEIVE from 57130 - System time: 1741203102.002273, Queue length: 0, Logical clock: 273
2025-03-05 14:31:43.f - RECEIVE from 57130 - System time: 1741203103.009256, Queue length: 0, Logical clock: 277
2025-03-05 14:31:44.f - RECEIVE from 57130 - System time: 1741203104.012211, Queue length: 0, Logical clock: 281
2025-03-05 14:31:45.f - RECEIVE from 57130 - System time: 1741203105.016867, Queue length: 0, Logical clock: 283
2025-03-05 14:31:46.f - RECEIVE from 58403 - System time: 1741203106.022073, Queue length: 0, Logical clock: 284
2025-03-05 14:31:47.f - RECEIVE from 58403 - System time: 1741203107.025212, Queue length: 0, Logical clock: 288
2025-03-05 14:31:48.f - RECEIVE from 57130 - System time: 1741203108.030461, Queue length: 0, Logical clock: 294
2025-03-05 14:31:49.f - RECEIVE from 58403 - System time: 1741203109.035010, Queue length: 0, Logical clock: 295
2025-03-05 14:31:50.f - RECEIVE from 58403 - System time: 1741203110.038175, Queue length: 0, Logical clock: 296
2025-03-05 14:31:51.f - RECEIVE from 57130 - System time: 1741203111.043402, Queue length: 0, Logical clock: 299
2025-03-05 14:31:52.f - RECEIVE from 57130 - System time: 1741203112.045648, Queue length: 0, Logical clock: 304
2025-03-05 14:31:53.f - RECEIVE from 58403 - System time: 1741203113.050861, Queue length: 0, Logical clock: 305
2025-03-05 14:31:54.f - RECEIVE from 58403 - System time: 1741203114.053481, Queue length: 0, Logical clock: 306
2025-03-05 14:31:55.f - RECEIVE from 57130 - System time: 1741203115.058696, Queue length: 0, Logical clock: 308
2025-03-05 14:31:56.f - RECEIVE from 57130 - System time: 1741203116.063906, Queue length: 0, Logical clock: 318
2025-03-05 14:31:57.f - RECEIVE from 57130 - System time: 1741203117.069359, Queue length: 0, Logical clock: 322
2025-03-05 14:31:58.f - RECEIVE from 58403 - System time: 1741203118.070145, Queue length: 0, Logical clock: 323
2025-03-05 14:31:59.f - RECEIVE from 58403 - System time: 1741203119.074011, Queue length: 0, Logical clock: 325
2025-03-05 14:32:00.f - RECEIVE from 57130 - System time: 1741203120.079224, Queue length: 0, Logical clock: 329
2025-03-05 14:32:01.f - RECEIVE from 57130 - System time: 1741203121.084576, Queue length: 0, Logical clock: 333
2025-03-05 14:32:02.f - RECEIVE from 58403 - System time: 1741203122.087593, Queue length: 0, Logical clock: 334
2025-03-05 14:32:03.f - RECEIVE from 58403 - System time: 1741203123.093146, Queue length: 0, Logical clock: 336
2025-03-05 14:32:04.f - RECEIVE from 58403 - System time: 1741203124.097298, Queue length: 0, Logical clock: 339
2025-03-05 14:32:05.f - RECEIVE from 57130 - System time: 1741203125.098349, Queue length: 0, Logical clock: 344
2025-03-05 14:32:06.f - RECEIVE from 58403 - System time: 1741203126.103603, Queue length: 0, Logical clock: 352
2025-03-05 14:32:07.f - RECEIVE from 57130 - System time: 1741203127.108837, Queue length: 0, Logical clock: 354
2025-03-05 14:32:08.f - RECEIVE from 57130 - System time: 1741203128.109855, Queue length: 0, Logical clock: 366
2025-03-05 14:32:09.f - RECEIVE from 58403 - System time: 1741203129.110518, Queue length: 0, Logical clock: 367
2025-03-05 14:32:10.f - RECEIVE from 57130 - System time: 1741203130.115595, Queue length: 0, Logical clock: 370
2025-03-05 14:32:11.f - RECEIVE from 57130 - System time: 1741203131.120810, Queue length: 0, Logical clock: 372
2025-03-05 14:32:12.f - RECEIVE from 57130 - System time: 1741203132.121990, Queue length: 0, Logical clock: 376
2025-03-05 14:32:13.f - RECEIVE from 57130 - System time: 1741203133.127279, Queue length: 0, Logical clock: 377
2025-03-05 14:32:14.f - RECEIVE from 58403 - System time: 1741203134.132557, Queue length: 0, Logical clock: 381
2025-03-05 14:32:15.f - RECEIVE from 57130 - System time: 1741203135.137916, Queue length: 0, Logical clock: 386
2025-03-05 14:32:16.f - RECEIVE from 58403 - System time: 1741203136.142267, Queue length: 0, Logical clock: 387
2025-03-05 14:32:17.f - RECEIVE from 57130 - System time: 1741203137.147463, Queue length: 0, Logical clock: 392
2025-03-05 14:32:18.f - RECEIVE from 58403 - System time: 1741203138.151243, Queue length: 0, Logical clock: 395
2025-03-05 14:32:19.f - RECEIVE from 58403 - System time: 1741203139.155443, Queue length: 0, Logical clock: 404
2025-03-05 14:32:20.f - RECEIVE from 58403 - System time: 1741203140.160367, Queue length: 0, Logical clock: 408
2025-03-05 14:32:21.f - RECEIVE from 58403 - System time: 1741203141.162675, Queue length: 0, Logical clock: 412
2025-03-05 14:32:22.f - RECEIVE from 57130 - System time: 1741203142.167826, Queue length: 0, Logical clock: 413
2025-03-05 14:32:23.f - RECEIVE from 58403 - System time: 1741203143.173140, Queue length: 0, Logical clock: 414
2025-03-05 14:32:24.f - Machine 2 shutdown
