2025-03-01 23:17:05.f - Starting machine 0 with clock rate 1 ticks/second
2025-03-01 23:17:05.f - Internal event range: (4, 10)
2025-03-01 23:17:05.f - INTERNAL EVENT - System time: 1740889025.968220, Logical clock: 1
2025-03-01 23:17:06.f - RECEIVE from 57586 - System time: 1740889026.969182, Queue length: 0, Logical clock: 5
2025-03-01 23:17:07.f - RECEIVE from 57586 - System time: 1740889027.972758, Queue length: 2, Logical clock: 10
2025-03-01 23:17:08.f - RECEIVE from 57586 - System time: 1740889028.976513, Queue length: 2, Logical clock: 12
2025-03-01 23:17:09.f - RECEIVE from 57586 - System time: 1740889029.981566, Queue length: 4, Logical clock: 18
2025-03-01 23:17:10.f - RECEIVE from 57586 - System time: 1740889030.986624, Queue length: 5, Logical clock: 24
2025-03-01 23:17:11.f - RECEIVE from 56480 - System time: 1740889031.991329, Queue length: 5, Logical clock: 25
2025-03-01 23:17:12.f - RECEIVE from 57586 - System time: 1740889032.995195, Queue length: 4, Logical clock: 27
2025-03-01 23:17:14.f - RECEIVE from 63043 - System time: 1740889034.000303, Queue length: 5, Logical clock: 28
2025-03-01 23:17:15.f - RECEIVE from 63043 - System time: 1740889035.000402, Queue length: 8, Logical clock: 29
2025-03-01 23:17:16.f - RECEIVE from 57586 - System time: 1740889036.000502, Queue length: 9, Logical clock: 36
2025-03-01 23:17:17.f - RECEIVE from 56480 - System time: 1740889037.005278, Queue length: 11, Logical clock: 37
2025-03-01 23:17:18.f - RECEIVE from 57586 - System time: 1740889038.007015, Queue length: 14, Logical clock: 50
2025-03-01 23:17:19.f - RECEIVE from 56480 - System time: 1740889039.007500, Queue length: 17, Logical clock: 51
2025-03-01 23:17:20.f - RECEIVE from 57586 - System time: 1740889040.007623, Queue length: 18, Logical clock: 55
2025-03-01 23:17:21.f - RECEIVE from 57586 - System time: 1740889041.007767, Queue length: 18, Logical clock: 60
2025-03-01 23:17:22.f - RECEIVE from 57586 - System time: 1740889042.012827, Queue length: 18, Logical clock: 61
2025-03-01 23:17:23.f - RECEIVE from 57586 - System time: 1740889043.017873, Queue length: 19, Logical clock: 65
2025-03-01 23:17:24.f - RECEIVE from 57586 - System time: 1740889044.017973, Queue length: 20, Logical clock: 68
2025-03-01 23:17:25.f - RECEIVE from 57586 - System time: 1740889045.020227, Queue length: 20, Logical clock: 73
2025-03-01 23:17:26.f - RECEIVE from 57586 - System time: 1740889046.023787, Queue length: 21, Logical clock: 76
2025-03-01 23:17:27.f - RECEIVE from 57586 - System time: 1740889047.024453, Queue length: 23, Logical clock: 80
2025-03-01 23:17:28.f - RECEIVE from 57586 - System time: 1740889048.024640, Queue length: 24, Logical clock: 87
2025-03-01 23:17:29.f - RECEIVE from 56480 - System time: 1740889049.024803, Queue length: 24, Logical clock: 88
2025-03-01 23:17:30.f - RECEIVE from 57586 - System time: 1740889050.025961, Queue length: 25, Logical clock: 89
2025-03-01 23:17:31.f - RECEIVE from 56480 - System time: 1740889051.027186, Queue length: 26, Logical clock: 90
2025-03-01 23:17:32.f - RECEIVE from 57586 - System time: 1740889052.027257, Queue length: 28, Logical clock: 91
2025-03-01 23:17:33.f - RECEIVE from 63043 - System time: 1740889053.027316, Queue length: 30, Logical clock: 92
2025-03-01 23:17:34.f - RECEIVE from 62215 - System time: 1740889054.027378, Queue length: 31, Logical clock: 93
2025-03-01 23:17:35.f - RECEIVE from 57586 - System time: 1740889055.027438, Queue length: 33, Logical clock: 94
2025-03-01 23:17:36.f - RECEIVE from 57586 - System time: 1740889056.027496, Queue length: 34, Logical clock: 98
2025-03-01 23:17:37.f - RECEIVE from 57586 - System time: 1740889057.028029, Queue length: 33, Logical clock: 107
2025-03-01 23:17:38.f - RECEIVE from 57586 - System time: 1740889058.028212, Queue length: 34, Logical clock: 111
2025-03-01 23:17:39.f - RECEIVE from 62215 - System time: 1740889059.033281, Queue length: 35, Logical clock: 112
2025-03-01 23:17:40.f - RECEIVE from 57586 - System time: 1740889060.038328, Queue length: 36, Logical clock: 119
2025-03-01 23:17:41.f - RECEIVE from 56480 - System time: 1740889061.038405, Queue length: 36, Logical clock: 120
2025-03-01 23:17:42.f - RECEIVE from 57586 - System time: 1740889062.043005, Queue length: 39, Logical clock: 127
2025-03-01 23:17:43.f - RECEIVE from 63043 - System time: 1740889063.043106, Queue length: 40, Logical clock: 129
2025-03-01 23:17:44.f - RECEIVE from 57586 - System time: 1740889064.043223, Queue length: 41, Logical clock: 137
2025-03-01 23:17:45.f - RECEIVE from 57586 - System time: 1740889065.044658, Queue length: 43, Logical clock: 138
2025-03-01 23:17:46.f - RECEIVE from 62215 - System time: 1740889066.047607, Queue length: 43, Logical clock: 143
2025-03-01 23:17:47.f - RECEIVE from 56480 - System time: 1740889067.052656, Queue length: 44, Logical clock: 148
2025-03-01 23:17:48.f - RECEIVE from 57586 - System time: 1740889068.057705, Queue length: 46, Logical clock: 154
2025-03-01 23:17:49.f - RECEIVE from 57586 - System time: 1740889069.058221, Queue length: 46, Logical clock: 155
2025-03-01 23:17:50.f - RECEIVE from 56480 - System time: 1740889070.058299, Queue length: 47, Logical clock: 158
2025-03-01 23:17:51.f - RECEIVE from 56480 - System time: 1740889071.063351, Queue length: 46, Logical clock: 162
2025-03-01 23:17:52.f - RECEIVE from 62215 - System time: 1740889072.068396, Queue length: 47, Logical clock: 163
2025-03-01 23:17:53.f - RECEIVE from 62215 - System time: 1740889073.070686, Queue length: 49, Logical clock: 167
2025-03-01 23:17:54.f - RECEIVE from 57586 - System time: 1740889074.074800, Queue length: 50, Logical clock: 174
2025-03-01 23:17:55.f - RECEIVE from 57586 - System time: 1740889075.079865, Queue length: 50, Logical clock: 181
2025-03-01 23:17:56.f - RECEIVE from 57586 - System time: 1740889076.080154, Queue length: 52, Logical clock: 186
2025-03-01 23:17:57.f - RECEIVE from 57586 - System time: 1740889077.080275, Queue length: 53, Logical clock: 193
2025-03-01 23:17:58.f - RECEIVE from 62215 - System time: 1740889078.084506, Queue length: 54, Logical clock: 194
2025-03-01 23:17:59.f - RECEIVE from 57586 - System time: 1740889079.089609, Queue length: 53, Logical clock: 195
2025-03-01 23:18:00.f - RECEIVE from 56480 - System time: 1740889080.091403, Queue length: 52, Logical clock: 196
2025-03-01 23:18:01.f - RECEIVE from 62215 - System time: 1740889081.091550, Queue length: 52, Logical clock: 197
2025-03-01 23:18:02.f - RECEIVE from 57586 - System time: 1740889082.091646, Queue length: 52, Logical clock: 202
2025-03-01 23:18:03.f - RECEIVE from 57586 - System time: 1740889083.093901, Queue length: 53, Logical clock: 207
2025-03-01 23:18:04.f - RECEIVE from 57586 - System time: 1740889084.094002, Queue length: 55, Logical clock: 213
2025-03-01 23:18:05.f - RECEIVE from 57586 - System time: 1740889085.094072, Queue length: 55, Logical clock: 218
2025-03-01 23:18:06.f - Machine 0 shutdown
